"no";"tipo";"de_para";"resumo";"data"
"732";"TEL";"WASHINGTON (E)";"EUA-Argentina. Seminário em dois blocos sobre o futuro do relacionamento bilateral e o período da guerra suja.";2003-03-17
"231";"DET";"WASHINGTON (E)";"Relações Brasil-Eua. Conversa com a Embaixadora Donna Hrinak.";2003-03-17
"188";"TEL";"PEQUIM (E)";"ONU questão do Iraque. Novo ministro do Exterior da China.";2003-03-18
"743";"TEL";"WASHINGTON (E)";"Brasil-EUA. Nações Unidas. Crise no Iraque. Consulta do Departamento de Estado.";2003-03-18
"744";"TEL";"WASHINGTON (E)";"Brasil-EUA. Nações Unidas. Crise no Iraque. Consulta do Departamento de Estado.";2003-03-18
"751";"TEL";"WASHINGTON (E)";"Transportes Aéreos. BrasilEUA. Empresa Fly Linhas Aéreas. Contratos de compra e venda de aeronaves forjados.";2003-03-18
"194";"TEL";"PEQUIM (E)";"Iraque. Política chinesa. Novo Governo chinês.";2003-03-19
"767";"TEL";"WASHINGTON (E)";"Brasil-EUA. Política de defesa. SIVAM. Tiro de destruição. Conversa com funcionário do DOS.";2003-03-19
"240";"DET";"WASHINGTON (E)";"BRASIL-COLÔMBIA. ARTIGO SOBRE O NÃO RECONHECIMENTO DAS FARC COMO GRUPO TERRORISTA.";2003-03-20
"210";"TEL";"PEQUIM (E)";"China -EUA . Apesar da crise iraquiana registram sinais de aproximação sino - americanos.";2003-03-21
"788";"TEL";"WASHINGTON (E)";"EUA. Política externa. Guerra no Iraque. Teoria do choque e terror\". Efeito Hiroshima e Síndrome de Estocolmo. \"";2003-03-21
"787";"TEL";"WASHINGTON (E)";"EUA. Política externa. Guerra no Iraque. Intensificação dos ataques.";2003-03-21
"241";"DET";"WASHINGTON (E)";"Relações Brasil-EUA. Cooperação Técnica. Visita do Diretor da USAID ao SG e à ABC em companhia da Embaixadora Donna Hrinak.";2003-03-21
"142";"DET";"PEQUIM (E)";"Brasil-China. Conversa telefônica com o Ministro dos Negócios Estranegeiros.";2003-03-24
"806";"TEL";"WASHINGTON (E)";"ALCA. Acesso a mercados. Ofertas iniciais. Lista dos EUA. Solicitação de subsídios. Comentários de Washington. SGP.";2003-03-24
"800";"TEL";"WASHINGTON (E)";"EUA. Espaço. Questões de segurança. Reunião no Eisenhower Institute\". Projeto \"Futuro do Espaço: a nova Fronteira Estratégica\". \"";2003-03-24
"249";"DET";"WASHINGTON (E)";"Energia. Visita da Ministra de Minas e Energia.";2003-03-25
"827";"TEL";"WASHINGTON (E)";"EUA. Política externa. Guerra do Iraque. Busca de legitimidade.";2003-03-25
"831";"TEL";"WASHINGTON (E)";"EUA. Política externa. Espanha. Artigo de opinião de Ana Palacio.";2003-03-26
"834";"TEL";"WASHINGTON (E)";"EUA. Política externa. Coréia do Norte. Não proliferação. Prosseguimento da crise norte-coreana. Efeitos da Guerra no Iraque.";2003-03-26
"223";"TEL";"PEQUIM (E)";"Pedido de gestão da EMBRAER. Carta de autoridade ministerial brasileira.";2003-03-27
"846";"TEL";"WASHINGTON (E)";"Brasil-Bolívia. Energia. Visita do Embaixador da Bolívia. Fornecimento de gás ao Brasil. Interesse do presidente boliviano no tema.";2003-03-27
"842";"TEL";"WASHINGTON (E)";"EUA. Conseqüências da guerra do Iraque nas relações com a América Latina e com o Brasil.";2003-03-27
"843";"TEL";"WASHINGTON (E)";"EUA. Questões de segurança mundiais e regionais. Conversa no Pentágono.";2003-03-27
"849";"TEL";"WASHINGTON (E)";"ALCA. Acesso a Mercados. Agricultura. Oferta Inicial dos EUA. Comentários Preliminares.";2003-03-28
"266";"DET";"WASHINGTON (E)";"Iraque. Terrorismo. Brasil EUA. Gestões da Embaixada dos EUA. Respostas Brasileiras.";2003-03-28
"866";"TEL";"WASHINGTON (E)";"Tríplice Fronteira. Mecanismo 3+1. Percepções dos EUA. Encontro no DOS.";2003-03-29
"235";"TEL";"PEQUIM (E)";"China. Comércio internacional. Agricultura. Barreiras sanitárias. Reunião na Embaixada da Austrália. Grupo de exportadores agrícolas.";2003-03-31
"237";"TEL";"PEQUIM (E)";"ONU. Iraque. Carta do Presidente da República ao Secretário-Geral da ONU. Transmissão à Chancelaria chinesa.";2003-03-31
"247";"TEL";"PEQUIM (E)";"China Iraque. O clima de prudência se mantém. Expectativa frente à Coréia.";2003-01-04
"240";"TEL";"PEQUIM (E)";"China. Agricultura. Convite Para seminário sobre cana de açúcar. Possibilidade de inserção em esquema bilateral de cooperação sobre álcool.";2003-01-04
"243";"TEL";"PEQUIM (E)";"Convite para participação em cúpula informal G-8/países emergentes.";2003-01-04
"878";"TEL";"WASHINGTON (E)";"Brasil-EUA. Visita do Presidente da Comissão de Relações Exteriores da Câmara ao Brasil. Pedido de audiência ao Presidente da República.";2003-01-04
"883";"TEL";"WASHINGTON (E)";"EUA. Política externa. Guerra no Iraque. Conseqüências para as relações entre os EUA e a América Latina.";2003-01-04
"887";"TEL";"WASHINGTON (E)";"Cooperação técnica. BrasilEUA. Visita de cortesia ao Diretor da USAID para a América Latina.";2003-02-04
"886";"TEL";"WASHINGTON (E)";"Cumulatividade. BrasilBurundi. Embaixador Antoine Ntamobwa. Pedido de agrément.";2003-02-04
"904";"TEL";"WASHINGTON (E)";"EUA. Política externa. Iraque. Declarações contra Síria e Irã. Spillover\" da guerra. \"";2003-03-04
"920";"TEL";"WASHINGTON (E)";"EUA. Política Externa. Coréia do Norte. Adiamento da visita de Dick Cheney.";2003-03-04
"905";"TEL";"WASHINGTON (E)";"EUA-Brasil-Venezuela. Debate no CSIS sobre o Grupo de Amigos para a Venezuela\". \"";2003-03-04
"911";"TEL";"WASHINGTON (E)";"Nações Unidas. Opinião do Brazil desk do DOS sobre conversa entre Representantes de Brasil e EUA na ONU. Situação do Iraque.";2003-03-04
"259";"TEL";"PEQUIM (E)";"Propriedade intelectual. OMPI. Cúpula de Pequim. Adiamento. Aparente tentativa de prosseguimento na preparação da Declaração de Pequim.";2003-04-04
"941";"TEL";"WASHINGTON (E)";"EUA. Política externa. Nãoproliferação. RPDC. Paquistão. Imposição de sanções americanas.";2003-04-04
"263";"TEL";"PEQUIM (E)";"Propriedade intelectual. OMPI. Cúpula de Pequim. Necessidade de confirmação de adiamento.";2003-07-04
"949";"TEL";"WASHINGTON (E)";"EUA. Política externa. Volta da geopolítica. Implicações para o Brasil. Planejamento político.";2003-07-04
"939";"TEL";"WASHINGTON (E)";"Telegrama anulado pelo CONTROLE DE SÉRIE (DCA) em: 07/04/2003 10:31 Operador ----> TEREZINHA BENTO DE FREITAS";2003-07-04
"940";"TEL";"WASHINGTON (E)";"Telegrama anulado pelo CONTROLE DE SÉRIE (DCA) em: 07/04/2003 10:35 Operador ----> TEREZINHA BENTO DE FREITAS";2003-07-04
"298";"DET";"WASHINGTON (E)";"Conversa com o Secretário de Estado Colin Powell. Iraque.";2003-08-04
"962";"TEL";"WASHINGTON (E)";"EUA. Política externa. Nova doutrina. Hegemonia benevolente e hegemonia pela força.";2003-08-04
"972";"TEL";"WASHINGTON (E)";"Assuntos de segurança. Terrorismo. Grupo terrorista argelino. Contato no Brasil. Pedido de representante da Embaixda da Argélia.";2003-09-04
"978";"TEL";"WASHINGTON (E)";"EUA. Política externa. Iraque. Pós guerra e reconstrução do Iraque. Cúpula de Belfast.";2003-09-04
"989";"TEL";"WASHINGTON (E)";"Brasil-EUA. Posição em relação à Colômbia. Comentários do Embaixador Marc Grossman.";2003-10-04
"314";"DET";"WASHINGTON (E)";"Propriedade intelectual. Special 301. Defesa do Brasil. Combate à pirataria. Relatório do Ministério da Justiça. Comentários.";2003-10-04
"312";"DET";"WASHINGTON (E)";"Segurança. Brasil-EUA. Reunião de Consultas - 2003. Proposta de Agenda.";2003-10-04
"310";"DET";"WASHINGTON (E)";"Visita do Ministro da Fazenda a Washington e Nova York. Agenda.";2003-10-04
"284";"TEL";"PEQUIM (E)";"Brasil-China. Pedido de gestão da EMBRAER.";2003-11-04
"316";"DET";"WASHINGTON (E)";"Lista de Controle Consular. LCC. Usuários Cadastrados.";2003-11-04
"318";"DET";"WASHINGTON (E)";"OCDE. Aço. Grupo de Estudos sobre Disciplinas.";2003-11-04
"317";"DET";"WASHINGTON (E)";"Propriedade intelectual. Special 301. Patentes farmacêuticas. Defesa do Brasil. Informações da ANVISA.";2003-11-04
"286";"TEL";"PEQUIM (E)";"Promoção comercial. Material De defesa. LAD 2003. Recebimento do programa.";2003-04-14
"1013";"TEL";"WASHINGTON (E)";"ALCA. Brasil-EUA. Reunião do Ministro Antonio Palocci com o USTR Robert Zoellick. Washington. 14 de abril de 2003.";2003-04-14
"1015";"TEL";"WASHINGTON (E)";"Direitos humanos. China. Falun Gong. Carta ao Presidente da República.";2003-04-14
"201";"DET";"PEQUIM (E)";"China. Agricultura. Convite para seminário sobre cana-de-açúcar. Possibilidade de inserção em esquema bilateral de cooperação sobre álcool.";2003-04-15
"295";"TEL";"PEQUIM (E)";"Saúde pública. Síndrome Respiratória Aguda Severa (SARS). Situação atual. Assistência a brasileiros. Repatriação.";2003-04-15
"1035";"TEL";"WASHINGTON (E)";"Cumulatividade. Zâmbia. Embaixadora Inonge MbikusitaLewanika. Pedido de agrément\". \"";2003-04-15
"1020";"TEL";"WASHINGTON (E)";"Telegrama anulado pelo CONTROLE DE SÉRIE (DCA) em: 15/04/2003 11:07 Operador ----> TEREZINHA BENTO DE FREITAS";2003-04-15
"300";"TEL";"PEQUIM (E)";"China Sars- Repercussão política.";2003-04-16
"297";"TEL";"PEQUIM (E)";"Síndrome Respiratória Aguda Grave (SARS). Pequim. Partida de dependentes de funcionários do Quadro lotados no posto.";2003-04-16
"1040";"TEL";"WASHINGTON (E)";"Brasil-EUA. Colômbia. Comentáros do Embaixador Marc Grossman. Telefonema.";2003-04-16
"1058";"TEL";"WASHINGTON (E)";"EUA. Política externa. Guerra do Iraque. Efeito demonstração.";2003-04-16
"1056";"TEL";"WASHINGTON (E)";"Meio ambiente. GEF. Seleção de novo CEO. Comentário de Amaury Bier.";2003-04-16
"1057";"TEL";"WASHINGTON (E)";"OEA. Conferência Especial de Segurança. Possíveis discrepâncias entre DOS e DOD.";2003-04-16
"309";"TEL";"PEQUIM (E)";"Brasil-RPC. Televisão digital. Oferta de cooperação da União Européia.";2003-04-17
"311";"TEL";"PEQUIM (E)";"Síndrome Respiratória Aguda Grave (SARS). Pequim. Briefing\" do Representante Residente da OMS às Embaixadas estrangeiras. \"";2003-04-17
"335";"DET";"WASHINGTON (E)";"Espaço exterior. Base de Alcântara. AST Brasil-Ucrânia. Tramitação no Congresso. Repercusssões para o AST Brasil-EUA.";2003-04-17
"333";"DET";"WASHINGTON (E)";"Privilégios e imunidades. Taxas Portuárias. Cobrança.";2003-04-17
"312";"TEL";"PEQUIM (E)";"Coréia do Norte. Cumulatividade. Prováveis negociações multilaterais. Influência da RPC.";2003-04-18
"313";"TEL";"PEQUIM (E)";"Síndrome Respiratória Aguda Severa (SARS). Reconhecimento Da gravidade da epidemia. Demissão do Prefeito de Pequim e do Ministro da Saúde da RPC.";2003-04-22
"314";"TEL";"PEQUIM (E)";"Síndrome Respiratória Aguda Grave (SARS). Pequim. Agravamento da epidemia. Partida de dependendentes do pessoal do Quadro.";2003-04-22
"343";"DET";"WASHINGTON (E)";"Brasil-Islândia. Pedido de agrément. Senhor Helgi Ágústsson.";2003-04-22
"1099";"TEL";"WASHINGTON (E)";"Cumulatividade. Brasil-Sudão. Embaixador Khidir Haroun Ahmed. Pedido de agrément\". \"";2003-04-22
"344";"DET";"WASHINGTON (E)";"Espaço exterior. Coopeação espacial. Brasil. EUA. Projeto LBA. Encontro da Embaixadora dos EUA com o DG-DME.";2003-04-22
"1094";"TEL";"WASHINGTON (E)";"EUA. Política externa. Entrevista de Colin Powell. Comentários sobre a América Latina.";2003-04-22
"1103";"TEL";"WASHINGTON (E)";"EUA. Iraque. Política externa. Não-Proliferação. Envio de inspetores americanos. Relacionamento com a UNMOVIC.";2003-04-22
"1096";"TEL";"WASHINGTON (E)";"EUA. Política externa. Coréia do Norte. Diálogo trilateral.";2003-04-22
"1088";"TEL";"WASHINGTON (E)";"Finanças. Iniciativa de Fortalecimento e Reforma do Setor Financeiro FIRST. Participação do Brasil.";2003-04-22
"349";"DET";"WASHINGTON (E)";"Espaço exterior. Cooperação espacial. Brasil. EUA. Acordo de Salvaguardas Tecnológicas. Encontro do DG-DME com a Embaixadora dos EUA.";2003-04-23
"1132";"TEL";"WASHINGTON (E)";"Colômbia. Relatório sobre efeitos regionais da crise colombiana. Palestra.";2003-04-24
"1134";"TEL";"WASHINGTON (E)";"EUA. Política externa. França. Retaliações.";2003-04-24
"1120";"TEL";"WASHINGTON (E)";"EUA-Brasil. Agricultura. Encontro do Ministro Roberto Rodrigues com a Secretária Ann Veneman.";2003-04-24
"355";"DET";"WASHINGTON (E)";"EUA-Iraque. Gestões da Embaixadora Donna Hrinak. Pedido de detenção de membros do Governo de Saddam Hussein.";2003-04-24
"1133";"TEL";"WASHINGTON (E)";"Paraguai. Política interna. Eleições. Conversa com o `Paraguay Desk` do DOS.";2003-04-24
"1141";"TEL";"WASHINGTON (E)";"Espaço Exterior. Base de Alcântara. AST Brasil-EUA. Gestão junto ao Departamento de Estado.";2003-04-25
"1143";"TEL";"WASHINGTON (E)";"EUA. Questões de segurança. Encontros entre o Ministério da Defesa e o Departamento de Defesa. Novas datas.";2003-04-25
"359";"DET";"WASHINGTON (E)";"Meio ambiente. Smithsonian-INPA. Convênio de cooperação. Negociações. Comentários.";2003-04-25
"1142";"TEL";"WASHINGTON (E)";"OMC. Agricultura. Graduação\". Novas Menções. \"";2003-04-25
"336";"TEL";"PEQUIM (E)";"RPC. Síndrome Respiratória Aguda Grave (SRAG). Encontro realizado pelo escritório da Organização Mundial da Saúde. Relato.";2003-04-28
"337";"TEL";"PEQUIM (E)";"Síndrome Respiratória Aguda Grave (SARS). Pequim. Combate da epidemia.";2003-04-28
"343";"TEL";"PEQUIM (E)";"Coréia do Norte. Cumulatividade. Conversações tripartites em Pequim. Briefing da Chancelaria chinesa.";2003-04-29
"1163";"TEL";"WASHINGTON (E)";"Brasil-EUA. Comentários do Secretário do Tesouro.";2003-04-29
"1165";"TEL";"WASHINGTON (E)";"Brasil-EUA. Comentários do Secretário do Tesouro.";2003-04-29
"1161";"TEL";"WASHINGTON (E)";"EUA-Uruguai. Visita do Presidente Battle aos EUA. Agenda comercial: ALCA, 4+1.";2003-04-29
"348";"TEL";"PEQUIM (E)";"China. Convite para participação em cúpula informal G-8/países emergentes. Aceitação.";2003-04-30
"350";"TEL";"PEQUIM (E)";"Epidemia de Sars. Visitas de alto nível.";2003-04-30
"349";"TEL";"PEQUIM (E)";"Síndrome Respiratória Aguda Grave (SARS). Pequim. Combate da epidemia.";2003-04-30
"1186";"TEL";"WASHINGTON (E)";"EUA. Política externa e interna. Coréia do Norte. Novo diálogo.";2003-02-05
"1201";"TEL";"WASHINGTON (E)";"Política Externa. Não proliferação. Crise da RPDC. Realização de discussões mediadas pela China.";2003-02-05
"1213";"TEL";"WASHINGTON (E)";"Administração. Contratado Local. Irregularidade no Setor Consular.";2003-05-05
"1214";"TEL";"WASHINGTON (E)";"Assuntos consulares. Etiquetas para concessão de vistos.";2003-05-05
"1209";"TEL";"WASHINGTON (E)";"EUA. Política externa. Desarmamento. RPDC. Comentários de especialista.";2003-05-05
"1222";"TEL";"WASHINGTON (E)";"EUA. Política externa. Iraque. Discurso de Bush. Disputa Departamento de Estado e Departamento de Defesa.";2003-05-05
"359";"TEL";"PEQUIM (E)";"Epidemia de SARS na China. Informações da imprensa brasileira.";2003-06-05
"357";"TEL";"PEQUIM (E)";"Síndrome Respiratória Aguda Grave (SARS). Pequim. Combate da epidemia. Quadro atual.";2003-06-05
"1230";"TEL";"WASHINGTON (E)";"ALCA. Brasil-EUA. Subsídios à visita do USTR Robert Zoellick ao Brasil. Brasília. 27 e 28 de maio.";2003-06-05
"1250";"TEL";"WASHINGTON (E)";"Brasil. Política externa. Iraque. Representação em Bagdá. Sugestão de abertura.";2003-07-05
"1244";"TEL";"WASHINGTON (E)";"Brasil-EUA. Reunião Bilateral de Segurança. Agenda. Tiro de destruição.";2003-07-05
"1253";"TEL";"WASHINGTON (E)";"Brasil-EUA. Reunião Bilateral de Segurança. Agenda. Tiro de destruição.";2003-07-05
"1258";"TEL";"WASHINGTON (E)";"EUA. Política externa e comercial. Chile. Assinatura do acordo bilteral. Referência ao México.";2003-07-05
"1252";"TEL";"WASHINGTON (E)";"OEA. Direitos humanos. Projeto de resolução sobre Cuba.";2003-07-05
"374";"TEL";"PEQUIM (E)";"China. Conseqüências políticas da SARS.";2003-08-05
"410";"DET";"WASHINGTON (E)";"Administração. Auxiliares locais. Irregularidade no Setor Consular.";2003-08-05
"1270";"TEL";"WASHINGTON (E)";"Brasil-EUA. Reunião Bilateral de Segurança. Agenda. Tiro de destruição.";2003-08-05
"378";"TEL";"PEQUIM (E)";"Epidemia de SARS na China. Informações da imprensa brasileira.";2003-09-05
"412";"DET";"WASHINGTON (E)";"Assuntos de Segurança. Terrorismo. Grupo terrorista argelino. Contato no Brasil. Pedido de representante da Embaixada da Argélia.";2003-09-05
"415";"DET";"WASHINGTON (E)";"Brasil-EUA. Reunião Bilateral de Consultas sobre Segurança. Agenda.";2003-09-05
"413";"DET";"WASHINGTON (E)";"Extradição. EUA/Brasil.";2003-09-05
"1279";"TEL";"WASHINGTON (E)";"Meio ambiente. GEF. 21ª reunião do Conselho. Subsídios iniciais.";2003-09-05
"252";"DET";"PEQUIM (E)";"Brasil-China. Entrevista do Embaixador da RPC com o Sr. SGAP. Relato.";2003-05-13
"385";"TEL";"PEQUIM (E)";"Síndrome Respiratória Aguda Grave (SARS). Pequim. Quadro atual. Aspectos políticos.";2003-05-13
"1315";"TEL";"WASHINGTON (E)";"Administração. Contratados Locais. Irregularidades no Setor Consular. Sindicância.";2003-05-13
"1313";"TEL";"WASHINGTON (E)";"OMC. Rodada de Doha. Negociações Agrícolas. Graduation\". ALCA/4+1. Conversa com Embaixador Allen Johnson. \"";2003-05-13
"1314";"TEL";"WASHINGTON (E)";"Telegrama anulado pelo CONTROLE DE SÉRIE (DCA) em: 14/05/2003 11:46 Operador ----> CLAUDIA ZILA CORREIA LOPES";2003-05-13
"390";"TEL";"PEQUIM (E)";"Brasil-RPC. Cooperação científica, técnica e tecnológica. Atividades.";2003-05-14
"386";"TEL";"PEQUIM (E)";"Coréia do Norte. Cumulatividade. Conversa com diplomatas norte-coreanos. Perspectivas da crise da Península Coreana.";2003-05-14
"1324";"TEL";"WASHINGTON (E)";"OMC. Rodada de Doha. Graduação\". Encontro no USTR com Dorothy Dwoskin. Relato. \"";2003-05-14
"392";"TEL";"PEQUIM (E)";"OMS. 56a. AMS. Delegação chinesa. Vice-Premier Wu Yi.";2003-05-15
"1352";"TEL";"WASHINGTON (E)";"Finanças. BID. Ingresso da Coréia. Posição do Brasil.";2003-05-16
"448";"DET";"WASHINGTON (E)";"ALCA. Brasil-EUA. Reunião do Ministro de Estado com o USTR Robert Zoellick. Nova proposta de agenda.";2003-05-17
"449";"DET";"WASHINGTON (E)";"Brasil-EUA. Segurança. Consultas Bilaterais. Washington, 21 de maio. Comentários.";2003-05-19
"1393";"TEL";"WASHINGTON (E)";"ALCA. Brasil-EUA. Reunião do Ministro de Estado com o USTR Robert Zoellick.";2003-05-20
"1396";"TEL";"WASHINGTON (E)";"Assistência consular. Deportação de brasileiros. Comentários.";2003-05-20
"1394";"TEL";"WASHINGTON (E)";"Encontro presidencial. Proposta estadunidense de declaração conjunta.";2003-05-20
"1407";"TEL";"WASHINGTON (E)";"EUA. Política externa. Coréia do Sul. Encontro presidencial. Comentários.";2003-05-20
"262";"DET";"PEQUIM (E)";"Cúpula de Evian. Diálogo ampliado\". Encontro com o Presidente Hu Jintao. \"";2003-05-21
"1424";"TEL";"WASHINGTON (E)";"ALCA. Brasil-EUA. Subsídios para a visita do USTR Zoellick. Cenário III.";2003-05-21
"1423";"TEL";"WASHINGTON (E)";"ALCA. Brasil-EUA. Visita do USTR ao Brasil. Almoço de trabalho com USTR-Deputy Peter Allgeier. Última versão da agenda.";2003-05-21
"465";"DET";"WASHINGTON (E)";"Assistência consular. Deportação de brasileiros.";2003-05-21
"1415";"TEL";"WASHINGTON (E)";"Telegrama anulado pelo CONTROLE DE SÉRIE (DCA) em: 22/05/2003 10:23 Operador ----> TEREZINHA BENTO DE FREITAS";2003-05-21
"412";"TEL";"PEQUIM (E)";"Brasil-China-Macau. Proposta chinesa de criação do Forum de Cooperação China-CPLP. Reunião de informação.";2003-05-22
"409";"TEL";"PEQUIM (E)";"Cúpula de Evian. Diálogo ampliado\". Encontro do Senhor PR com o Presidente Hu Jintao. Aceitação. Envio de Nota Diplomática. \"";2003-05-22
"410";"TEL";"PEQUIM (E)";"Política Externa. Atividades dos Postos. Pedido de Informação. Resposta. Setor Político. Política interna da RPC. Análises.";2003-05-22
"473";"DET";"WASHINGTON (E)";"Brasil-Burundi. Pedido de agrement. Senhor Antoine Ntambowa.";2003-05-22
"1431";"TEL";"WASHINGTON (E)";"EUA. Agricultura. Encefalite Espongiforme Bovina (BSE). Proveniência de animal contaminado.";2003-05-22
"416";"TEL";"PEQUIM (E)";"Coréia do Norte. Cumulatividade. Discussão de sanções\" difusas À RDPC. Perspectivas de prosseguimento das conversações RDPC-EUA. \"";2003-05-23
"417";"TEL";"PEQUIM (E)";"Política Externa. Atividades Dos Postos. Pedido de Informação. Resposta. Diálogo Bilateral em Direitos Humanos.";2003-05-23
"1433";"TEL";"WASHINGTON (E)";"Base de Alcântara. Conversa no DOS.";2003-05-23
"1447";"TEL";"WASHINGTON (E)";"Visita presidencial. Propostas de Declaração Conjunta e de Agenda.";2003-05-23
"1462";"TEL";"WASHINGTON (E)";"Assistência Consular. Deportação de brasileiros dos EUA. Reação dos EUA ao Aidemémoire do Brasil.";2003-05-26
"1468";"TEL";"WASHINGTON (E)";"Assistência consular. Deportação de brasileiros. Cancelamento do vôo. Repercussão entre brasileiros.";2003-05-27
"424";"TEL";"PEQUIM (E)";"Brasil-RPC. Televisão digital. Contatos. Comissão Nacional de Reforma e Desenvolvimento. Consulta sobre eventual proposta de cooperação da UE.";2003-05-28
"422";"TEL";"PEQUIM (E)";"China. Primeira viagem oficial do Presidente Hu Jintao. Rússia, Cazaquistão, Mongólia, Cúpula informal de Evian.";2003-05-28
"1478";"TEL";"WASHINGTON (E)";"Cumulatividade. Serra Leoa. Pedido de agrément\". Embaixador Ibrahim M`baba Kamara. \"";2003-05-28
"1491";"TEL";"WASHINGTON (E)";"EUA. Política externa e de segurança. Acordo de interdição aérea com a Colômbia. Detalhes.";2003-05-29
"509";"DET";"WASHINGTON (E)";"Colômbia. Segurança regional. Cooperação Brasil- países andinos. Seminário.";2003-05-30
"231";"TEL";"Washington ( E )";"Brasil-Bósnia-Herzegovina.  Pedido de  agrément\".  \"";2016-02-11
