"no";"tipo";"de_para";"resumo";"data"
"213";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. DROGAS  ILEGAIS E CRIMES CONEXOS. LEGISLACAO
SOBRE TIRO DE DESTRUICAO.";1998-02-06
"205";"telegrama";"Embaixada em  WASHINGTON";"ESTADOS UNIDOS-PANAMAH. CENTRO  MULTILATERAL ANTIDROGAS. POSICAO
DO  ONDCP.";1998-02-06
"215";"telegrama";"Embaixada em  WASHINGTON";"ESTADOS UNIDOS-PANAMAH. CENTRO  MULTINACIONAL ANTIDROGAS.
CONVERSA  COM MCNAMARA.";1998-02-06
"166";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-COSTA RICA. EXTRADICAO.";1998-02-10
"227";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. VISITA DO SENHOR  MINISTRO DE ESTADO. DATA.";1998-02-10
"170";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-COSTA RICA. EXTRADICAO.";1998-02-11
"173";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. VISITA DO SENHOR  MINISTRO DE ESTADO. DATA.  AUDIENCIAS.";1998-02-11
"232";"telegrama";"Embaixada em  WASHINGTON";"EUA-PARAGUAI. SITUACAO POLITICA  INTERNA. VISAO DO DOS.";1998-02-11
"182";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. DROGAS  ILEGAIS E CRIMES CONEXOS. VISI  TA DO
GENERAL MCCAFFREY.";1998-02-12
"285";"telegrama";"Embaixada em  WASHINGTON";"BRASIL/AMERICA LATINA-ESTADOS  UNIDOS. 1998. PERSPECTIVAS E
COMENTARIOS.";1998-02-19
"311";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. VISITA DO SENHOR  MINISTRO DE ESTADO. AUDIENCIAS.";1998-02-24
"115";"telegrama";"Consulado em  NOVA YORK";"CONTRATACAO DO SERVICO DE  NOTICIAS ''TIME FAX''.";1998-02-26
"229";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL - EUA. VISITA DO SENHOR  MINISTRO DE ESTADO. AUDIENCIAS";1998-02-26
"329";"telegrama";"Embaixada em  WASHINGTON";"ESTADOS UNIDOS-ARGENTINA. VISITA DO  MINISTRO DO INTERIOR. FRONTEIRA
TRIPLICE.";1998-02-26
"57";"despacho telegráfico";"Consulado em  SÃO FRANCISCO";"SINDICANCIA. CASO COR/52/1997.";1998-03-03
"258";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. CONVERSA COM O  EMBAIXADOR MELVYN LEVISTKY.";1998-03-04
"365";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. VISITA DO  SENHOR MINISTRO DE ESTADO.
SUBSIDIOS. PARAGUAI.";1998-03-04
"1012";"despacho telegráfico";"Escritório Financeiro em Nova York";"ADMINISTRACAO. PESSOAL. CON-  DUTA DESABONADA. DEMISSAO.";1998-03-04
"172";"despacho telegráfico";"Consulado em  NOVA YORK";"PROMOCAO COMERCIAL. SENHA.";1998-03-05
"376";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. VISITA DO  SENHOR MINISTRO DE ESTADO. SUBSIDOS.
PROCESO DE PAZ EQUADOR-PERU.";1998-03-05
"352";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. CONVERSA COM O  EMBAIXADOR DOS EUA. INTERESSE  BRASILEIRO
EM AVIEOS A-4 E F-16.";1998-03-05
"377";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. ENTREVISTA COM O  SECRETARIO DE ESTADO ASSISTENTE  JEFFREY
DAVIDOW.";1998-03-05
"321";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. PRIVILEGIOS E  IMUNIDADES. CONTENCIOSO.";1998-03-11
"401";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. VISITA DO  SENHOR MINISTRO DE ESTADO.
SUBSIDIOS. DROGAS ILEGAIS E CRIMES  CONEXOS.";1998-03-11
"415";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. INTERESSE BRASILEIRO EM  AVIOES A-4 DO KUAITE.";1998-03-11
"416";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-SUDAO. PEDIDO DE AGREMENT.  EMBAIXADOR MAHDI IBRAHIM
MOHAMED.";1998-03-11
"413";"telegrama";"Embaixada em  WASHINGTON";"CUPULA DAS AMERICAS. TRAFICO DE  ARMAS. INICIATIVA BRASILEIRA.
MERCOSUL.";1998-03-11
"326";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. PRIVILEGIOS E  IMUNIDADES. CONTENCIOSO.";1998-03-12
"429";"telegrama";"Embaixada em  WASHINGTON";"CUPULA DAS AMERICAS. PLANO DE ACAO.  XIII SIRG. DROGAS ILEGAIS E CRIMES
CONEXOS. EXTRADICAO E TRAFICO DE  ARMAS.";1998-03-12
"444";"telegrama";"Embaixada em  WASHINGTON";"SEGUNDA CUPULA DAS AMERICAS. PLANO  DE ACAO. DROGAS ILEGAIS E CRIMES
CONEXOS. XIII SIRG.";1998-03-13
"10001";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. CAFEH-DA-MANHAN COM A  SECRETARIA DE ESTADO.";1998-03-16
"231";"telegrama";"Embaixada em  PEQUIM";"COMUNICACOES. CORRECAO DE telegrama.";1998-03-17
"359";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. PRIVILE  GIOS E IMUNIDADES.";1998-03-17
"230";"telegrama";"Embaixada em  PEQUIM";"PROMOCAO COMERCIAL. SISTEMA BRAZILTRADENET. SENHAS DE ACESSO.";1998-03-19
"378";"despacho telegráfico";"Embaixada em  WASHINGTON";"PROTOCOLO. BRASIL-SUDAO.  
CONCESSAO DE ''AGREMENT''.";1998-03-19
"472";"telegrama";"Embaixada em  WASHINGTON";"PROMOCAO COMERCIAL. SISTEMA  BRAZILTRADENET. SENHAS DE ACESSO.";1998-03-19
"170";"telegrama";"Consulado em  MIAMI";"PROMOCAO COMERCIAL. SISTEMA  BRAZILTRADENET.  SENHAS  DE  ACESSO.
RESPOSTA.";1998-03-20
"381";"despacho telegráfico";"Embaixada em  WASHINGTON";"PROMOCAO COMERCIAL. NOVO MODE-  LO DE GESTAO. REDE INFORMATI-
ZADA. SENHAS DE ACESSO.";1998-03-20
"487";"telegrama";"Embaixada em  WASHINGTON";"PROTOCOLO. BRASIL-SUDAO. 
CONCESSAO DE  ''AGREMENT''.";1998-03-20
"206";"despacho telegráfico";"Consulado em  MIAMI";"PROMOCAO COMERCIAL.  BRAZILTRADENET.  SENHAS DE ACESSO.";1998-03-24
"509";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. DROGAS ILEGAIS.  MONITORAMENTO AEREO. EMPRESA
''CALIFORNIA MICROWAVE''.";1998-03-24
"397";"despacho telegráfico";"Embaixada em  WASHINGTON";"ACAO
CIVIL NA SUICA.";1998-03-25
"210";"despacho telegráfico";"Embaixada em  PEQUIM";"PROMOCAO COMERCIAL.  BRAZILTRADENET.  SENHAS DE ACESSO.";1998-03-27
"414";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. TRANSFERENCIA  DE  AVIOES A-4 DO KUAITE. DECLARA-  CAO USO
FINAL.";1998-03-27
"412";"despacho telegráfico";"Embaixada em  WASHINGTON";"TRANSPORTE AEREO.BRASIL-EUA.AU  MENTO DA CAPACIDADE.";1998-03-27
"566";"telegrama";"Embaixada em  WASHINGTON";"ESTADOS UNIDOS-PARAGUAI. SITUACAO  POLITICA INTERNA. VISAO DO DOS.";1998-04-02
"602";"telegrama";"Embaixada em  WASHINGTON";"PARAGUAI. POLITICA INTERNA.  INFORMACAO DA EMBAIXADA DOS EUA.";1998-04-08
"622";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. DROGAS  ILEGAIS E CRIMES CONEXOS. VISITA DO
DIRETOR DO ONDCP.";1998-04-09
"614";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. PRIVILEGIOS E  IMUNIDADES. CONTENCIOSO. MUDANCA DO
CONSULADO-GERAL EM NOVA YORK.";1998-04-09
"485";"despacho telegráfico";"Embaixada em  WASHINGTON";"PARAGUAI. POLITICA INTERNA.  GESTAO AMERICANA. RETRANSMIS-  SAO.";1998-04-10
"289";"despacho telegráfico";"Embaixada em  PEQUIM";"COMUNICACOES. REMESSA  DE DISQUETES.";1998-04-23
"553";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-CUBA. VISITA DO SENHOR  MINISTRO DE ESTADO. PASSAGEM  POR
MIAMI.";1998-04-27
"728";"telegrama";"Embaixada em  WASHINGTON";"ADMINISTRACAO. VIOLACAO DE SIGILO DE  COMUNICACOES. OCA MAGAZINE.";1998-04-30
"717";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. CONTENCIOSO SOBRE  PRIVILEGIOS E IMUNIDADES. MUDANCA DO
CONSULADO GERAL EM NOVA YORK.";1998-04-30
"422";"telegrama";"Embaixada em  PEQUIM";"COMUNICACOES. RECEBIMENTO DE  DISQUETES PARA DECIFRACAO.";1998-05-04
"141";"despacho telegráfico";"Consulado em  BOSTON";"PROMOCAO COMERCIAL. BRAZIL  TRADENET. SENHAS DE ACESSO.";1998-05-05
"758";"telegrama";"Embaixada em  WASHINGTON";"ASSUNTOS CONSULARES.RESTITUICAO DE VALORES.
MERRILL LYNCH.";1998-05-05
"755";"telegrama";"Embaixada em  WASHINGTON";"EQUADOR-PERU. PROCESSO DE PAZ.  VISITA DE AYALA LASSO A WASHINGTON.";1998-05-05
"609";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. PRIVILEGIOS E  IMUNIDADES. MUDANCA DO  CONSULADO-GERAL
EM NOVA YORK.";1998-05-06
"750";"telegrama";"Embaixada em  WASHINGTON";"DEFESA. BRASIL-EUA. INTERESSE  BRASILEIRO EM AVIOES A-4 DO KUAITE.";1998-05-07
"791";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-CUBA. VISITA DO SENHOR  MINISTRO DE ESTADO. PASSAGEM POR
MIAMI.";1998-05-08
"797";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. DEFESA. REUNIAO DE  CONSULTAS. OFERTA DE ARMAMENTOS
SOFISTICADOS.";1998-05-11
"826";"telegrama";"Embaixada em  WASHINGTON";"EUA-CUBA. NAO-RELACOES. COMENTARIOS.";1998-05-13
"835";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. VIAGEM DO PRESIDENTE DA  REPUBLICA. CONVITE DO PRESIDENTE
CLINTON.";1998-05-14
"700";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. DEFESA. OFERTA DE  ARMAMENTOS SOFISTICADOS.  ''NON PAPER''
RECEBIDO DA  EMBAIXADA NORTE-AMERICANA.";1998-05-21
"704";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. FORCA  AEREA BRASILEIRA. MARINHA  AMERICANA.
COMPRA DE  AERONAVE P-3.";1998-05-22
"10001";"telegrama";"Consulado em  CHICAGO";"BRASIL-CUBA. VISITA OFICIAL. AVALICAO.";1998-05-28
"788";"despacho telegráfico";"Embaixada em  WASHINGTON";"RETRANSMISSAO DE telegrama.";1998-06-01
"796";"despacho telegráfico";"Embaixada em  WASHINGTON";"RETRANSMISSAO DE telegrama.";1998-06-01
"855";"despacho telegráfico";"Embaixada em  WASHINGTON";"PARAGUAI-ESTADOS UNIDOS. NON-PA  PER NORTE-AMERICANO.";1998-06-05
"858";"despacho telegráfico";"Embaixada em  WASHINGTON";"PROCESSO DE PAZ EQUADOR-PERU.  ENCONTROS AA MARGEM DA AG ES-
PECIAL SOBRE DROGAS.  ENCON-  TROS DO PR  COM OS  PRESIDEN-  TES ALARCON E FUJIMORI.";1998-06-06
"1008";"telegrama";"Embaixada em  WASHINGTON";"INDIA. PAQUISTAO. NAO-PROLIFERACAO.  PARTICIPACAO DO BRASIL NA
DISCUSSAO  DO TEMA. REUNIAO EM LONDRES.";1998-06-09
"132";"despacho telegráfico";"Consulado em  XANGAI";"PROMOCAO COMERCIAL.  BRAZILTRADENET. SENHAS DE  ACESSO.";1998-06-12
"1047";"telegrama";"Embaixada em  WASHINGTON";"ADMINISTRACAO. IMPRENSA. SIGILO DE  DOCUMENTACAO. REVISTA OCA.";1998-06-15
"1123";"telegrama";"Embaixada em  WASHINGTON";"PROMOCAO COMERCIAL. SISTEMA  BRAZILTRADENET. SOLICITACAO DE SENHA
DE ACESSO.";1998-06-27
"954";"despacho telegráfico";"Embaixada em  WASHINGTON";"PROMOCAO COMERCIAL.  BRAZILTRADENET. SENHA DE  ACESSO.";1998-06-29
"1182";"telegrama";"Embaixada em  WASHINGTON";"RECEITA FEDERAL.  INFORMACOES ADICIONAIS.";1998-07-09
"479";"telegrama";"Consulado em  NOVA YORK";"ASSISTENCIA CONSULAR.  .  CONTATO DE
FUNCIONARIO DO CONSULADO  COM A PROMOTORIA.";1998-07-10
"1193";"telegrama";"Embaixada em  WASHINGTON";"PROMOCAO COMERCIAL. SISTEMA  BRAZILTRADENET. SOLICITACAO DE SENHA
DE ACESSO.";1998-07-10
"1025";"despacho telegráfico";"Embaixada em  WASHINGTON";"PROMOCAO COMERCIAL.  BRAZILTRADENET. SENHA DE  ACESSO.";1998-07-13
"491";"telegrama";"Consulado em  NOVA YORK";"ASSISTENCIA CONSULAR.. REQUERIMENTO
FORMAL DA PROMOTORIA PUBLICA DE NY.";1998-07-14
"1220";"telegrama";"Embaixada em  WASHINGTON";"ASSISTENCIA A BRASILEIRA. MUDANCA DE NOME. PROGRAMA
FEDERAL NORTE-AMERICANO.";1998-07-17
"1225";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. NOVO EMBAIXADOR DOS EUA.  CONVERSA COM THOMAS
MCLARTY.";1998-07-17
"482";"despacho telegráfico";"Consulado em  MIAMI";"COMUNICACOES. REMESSA DE KS.";1998-07-22
"1245";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ZAMBIA. PEDIDO DE AGREMENT.  EMBAIXADOR DUSTAN WESTON
KAMANA.";1998-07-22
"375";"telegrama";"Consulado em  MIAMI";"COMUNICAOES. REMESSA DE KS.  RECEBIMENTO.";1998-07-27
"4999";"despacho telegráfico";"Escritório Financeiro em Nova York";"ADMINISTRACAO. DESATIVACAO  TEMPORARIA DA EMB. EM DHAKA. ALIENACAO, POR VENDA, DE BENS.  RECEITA EXTRAORDINARIA DA  UNIAO.
RECOLHIMENTO.";1998-07-27
"1116";"despacho telegráfico";"Embaixada em  WASHINGTON";"ASSISTENCIA A BRASILEIROS.  MUDANCA DE NOME.  PROGRAMA
FEDERAL NORTE-AMERI-  CANO.";1998-07-31
"5140";"despacho telegráfico";"Escritório Financeiro em Nova York";"ADMINISTRACAO. DESATIVACAO  Embaixada em  DACCA. VENDA DE BENS.  RECEITA
EXTRAORDINARIA.  RECOLHIMENTO.";1998-07-31
"1305";"telegrama";"Embaixada em  WASHINGTON";"NAO-PROLIFERACAO. INDIA E PAQUISTAO.  ''BRIEFING'' NO DEPARTAMENTO DE
ESTADO.";1998-08-03
"1309";"telegrama";"Embaixada em  WASHINGTON";"ESTADOS UNIDOS-EQUADOR. VISITA DO  PRESIDENTE-ELEITO.";1998-08-04
"2064";"telegrama";"Escritório Financeiro em Nova York";"ADMINISTRACAO.EMBAIXADA EM  DACCA.RECEITA EXTRAORDINARIA DA
UNIAO.TRANSFERENCIA DE RECURSOS.";1998-08-05
"2063";"telegrama";"Escritório Financeiro em Nova York";"ADMINISTRACAO.EMBAIXADA EM  DACCA.RECEITA EXTRAORDINARIA DA
UNIAO.TRANSFERENCIA DE RECURSOS.";1998-08-05
"2065";"telegrama";"Escritório Financeiro em Nova York";"ADMINISTRACAO.EMBAIXADA EM  DACCA.CHAVES TELEGRAFICAS NA AGENCIA
NOVA YORK DO BANCO DO  BRASIL.DESTRUICAO.";1998-08-13
"2062";"telegrama";"Escritório Financeiro em Nova York";"ADMINISTRACAO.EMBAIXADA EM  DACCA.SALDO DA DOTACAO
COM.TRANSFERENCIA DE RECURSOS.";1998-08-13
"1383";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. LIII AGNU. ENCONTRO COM  . SUBSIDIOS.
TERRORISMO.";1998-08-14
"1199";"despacho telegráfico";"Embaixada em  WASHINGTON";"COOPERACAO BRASIL-EUA. PROJETO  LBA-ECOLOGIA. AJUSTE COMPLEMENT  AR.
INPE-NASA.";1998-08-21
"1421";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. TERRORISMO.  OEA. ARGENTINA. FRONTEIRA
TRIPLICE.";1998-08-21
"2291";"telegrama";"Escritório Financeiro em Nova York";"ADMINISTRACAO. PROGRAMA COMPLEMENTAR DE ASSISTENCIA MEDICA DO
SERVICO  EXTERIOR. PERIODO 1998-99.";1998-08-24
"6078";"despacho telegráfico";"Escritório Financeiro em Nova York";"ADMINISTRACAO. Embaixada em  DACCA.  RECEITA EXTRAORDINARIA DA  UNIAO.
TRANSFERENCIA DE  RECURSOS.";1998-09-02
"1254";"despacho telegráfico";"Embaixada em  WASHINGTON";"POLITICA FINANCEIRA. AVALIACAO  DO 'RISCO BRASIL' POR PARTE DA  'MOODY'S
INVESTORS SERVICE'";1998-09-03
"1478";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. TERRORISMO.  OEA. II CONFERENCIA
INTERAMERICANA  ESPECIALIZADA.";1998-09-03
"1474";"telegrama";"Embaixada em  WASHINGTON";"POLITICA FINANCEIRA. AVALIACAO DO  ''RISCO BRASIL''POR PARTE DA
''MOODY'S INVESTORS SERVICE''.";1998-09-03
"1501";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-ESTADOS UNIDOS. TERRORISMO.  OEA. II CONFERENCIA
INTERAMERICANA  ESPECIALIZADA. VIAGEM DE MUIRHEAD A  BRASILIA.";1998-09-08
"1502";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. LIII AGNU. ENCONTRO COM  . SUBSIDIOS.
TERRORISMO.";1998-09-08
"1516";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-BURKINA. EMBAIXADOR RESIDENTE  EM WASHINGTON. PEDIDO DE
AGREMENT DO  GOVERNO BRASILEIRO.";1998-09-10
"1518";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. LIII AGNU. ENCONTRO COM  . SUBSIDIOS.
VENEZUELA.";1998-09-10
"1507";"telegrama";"Embaixada em  WASHINGTON";"POLITICA FINANCEIRA. CLASSIFICACAO  DE RISCO DO BRASIL. STANDARD AND
POOR'S. MUDANCA NO OUTLOOK.";1998-09-10
