"no";"tipo";"de_para";"resumo";"data"
"1709";"despacho telegráfico";"Embaixada em WASHINGTON";"ESPACO EXTERIOR. BRASIL.  EUA. COMERCIALIZACAO DO CENTRO  DE LANCAMENTO DE ALCANTARA.  REUNIAO EM WASHINGTON.";1999-11-08
"2081";"telegrama";"Embaixada em WASHINGTON";"Comercializa‡Æo do Centro de  Lan‡amentos de Alcƒntara.  Encontro
com Arturo  Valenzuela.";1999-11-10
"843";"despacho telegráfico";"Embaixada em PEQUIM";"POLITICA EXTERNA. RELACOES DI-  PLOMATICAS.COREIA DO NORTE.EN- CONTRO COM DIPLOMATA NORTE-CO-  REANO.AUTORIZACAO.";1999-11-11
"903";"telegrama";"Embaixada em PEQUIM";"POLÖTICA EXTERNA. RELA€åES  DIPLOMµTICAS. CORIA DO NORTE.
ENCONTRO COM DIPLOMATA  NORTE-COREANO";1999-11-11
"913";"telegrama";"Embaixada em PEQUIM";"Mong¢lia (cumulatividade).  Embaixador Affonso Celso de  Ouro-Preto.
Agr‚ment.";1999-11-12
"2134";"telegrama";"Embaixada em WASHINGTON";"ANGOLA. ENCONTRO NO  DEPARTAMENTO DE ESTADO COM O
'DEPUTY ASSISTANT  SECRETARY'WITNEY SCHNEIDMAN.";1999-11-16
"947";"telegrama";"Embaixada em PEQUIM";"POLÖTICA EXTERNA. RELA€åES  DIPLOMµTICAS. CORIA DO NORTE.
ENCONTRO COM DIPLOMATA NORTE-  COREANO.";1999-11-22
"2208";"telegrama";"Embaixada em WASHINGTON";"OMC. Rodada do Milˆnio.  Dumping e Subs¡dios. Posi‡Æo  dos EUA. Encontro com David  Aaron, do Departamento de  Com‚rcio.";1999-11-23
"2222";"telegrama";"Embaixada em WASHINGTON";"OMC. ReuniÆo de Seattle.  Convite a Chefes de Estado.";1999-11-24
"1807";"despacho telegráfico";"Embaixada em WASHINGTON";"BRASIL-EUA. VISITA DO SECRE-  TARIO DE DEFESA. ENCONTRO COM  O
SENHOR MINISTRO DE ESTADO.";1999-11-25
"1830";"despacho telegráfico";"Embaixada em WASHINGTON";"ESPACO EXTERIOR. BRASIL. EUA.  COMERCIALIZACAO DO CLA.
REUNIAO DE PERITOS. PROPOSTA  DE DATAS.";1999-11-29
"2256";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Reunião de
peritos.";1999-11-30
"1840";"despacho telegráfico";"Embaixada em WASHINGTON";"VISITA DO PRESIDENTE KUTCHMA  A WASHINGTON. COOPERACAO
ESPACIAL BRASIL-UCRANIA.";1999-12-02
"2294";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Reunião de
peritos.";1999-12-06
"2300";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Reunião de
peritos.";1999-12-07
"1875";"despacho telegráfico";"Embaixada em WASHINGTON";"PROTOCOLO. BRASIL-NAMIBIA. CONCESSAO DE  'AGREMENT'.";1999-12-08
"2361";"telegrama";"Embaixada em WASHINGTON";"PROTOCOLO. BRASIL-NAMÍBIA. CONCESSÃO DE  'AGREMENT'.";1999-12-14
"2413";"telegrama";"Embaixada em WASHINGTON";"Brasil-Angola. Relações  bilaterais. Pedido de  \"Agrement\". Pedido de  informações.";1999-12-18
"2416";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Reunião de
peritos.";1999-12-18
"2458";"telegrama";"Embaixada em WASHINGTON";"COMERCIALIZAÇÃO DO CENTRO DE  LANÇAMENTOS DE ALCÂNTARA.
REUNIÃO DE PERITOS.";1999-12-23
"2460";"telegrama";"Embaixada em WASHINGTON";"COOPERAÇÃO ACADÊMICA. HARVARD  UNIVERSITY.WEATHERHEAD
CENTER  FOR INTERNATIONAL AFFAIRS.  INDICAÇÃO DE CANDIDATO BRASILEIRO.";1999-12-23
"2484";"telegrama";"Embaixada em WASHINGTON";"Espaço Exterior. Brasil-EUA.  Comercialização do Centro de  Alcântara.
Projeto de acordo  de salvaguardas.";1999-12-29
"24";"telegrama";"Embaixada em WASHINGTON";"COMERCIALIZAÇÃO DO CENTRO DE  LANÇAMENTOS DE
ALCÂNTARA.REU-  NIÃO DE PERITOS.COMENTÁRIOS AO  TEXTO DO PROJETO DE ACORDO  OFERECIDO PELOS EUA.";2000-01-05
"63";"telegrama";"Embaixada em WASHINGTON";"Equador. Agravamento da  situação interna. Posição dos  EUA.
Conversa no DOS.";2000-01-11
"60";"telegrama";"Embaixada em WASHINGTON";"EQUADOR. AGRAVAMENTO DA  SITUAÇÃO INTERNA. POSIÇÃO DOS
EUA. CONVERSA NO DOS.";2000-01-11
"77";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Acordo de
salvaguardas.  Negociação.";2000-01-12
"26";"despacho telegráfico";"Embaixada em WASHINGTON";"Brasil-EUA. Comando Sul das  Forças Armadas doos EUA.  Oficial de
ligação brasileiro.  Acesso.";2000-01-13
"37";"telegrama";"Escritório Financeiro em Nova York";"Administração. Pessoal.  Comunicação. OC Thaïs Gabriele  Bernardes
Olsen. Credencial de  Segurança. Concessão.";2000-01-13
"122";"telegrama";"Embaixada em WASHINGTON";"Equador. Situação política e  econômica. Reunião dos países  garantes do Protocolo do Rio  de Janeiro no Departamento de  Estado.";2000-01-19
"86";"despacho telegráfico";"Embaixada em WASHINGTON";"ESPAÇO EXTERIOR.  COMERCIALIZAÇÃO DO CLA. ACORDO  DE
SALVAGUARDAS. PROPOSTA DE  ALTERAÇÃO.";2000-02-01
"227";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Acordo de
salvaguardas.  Proposta de alteração.";2000-02-02
"231";"telegrama";"Embaixada em WASHINGTON";"Brasil-EUA. Drogas. Comando  Sul. JIATF-E. Oficial de  ligação brasileiro.
Credenciamento.";2000-02-03
"54";"despacho telegráfico";"Embaixada em PEQUIM";"Protocolo. Brasil-China.  Concessão de
\"agrément\".";2000-02-04
"106";"telegrama";"Embaixada em PEQUIM";"Protocolo. Brasil-China.  Concessão de
\"agrément\".";2000-02-09
"324";"telegrama";"Embaixada em WASHINGTON";"Brasil-Estados Unidos.  Universidade da Califórnia em  Berkeley. Visita da Senhora  Ruth Cardoso. Comunicação ao  Departamento de Estado.";2000-02-11
"320";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Acordo de
salvaguardas.  Proposta de alteração.";2000-02-11
"119";"telegrama";"Embaixada em PEQUIM";"Protocolo. Brasil-China. Concessão de
\"agrément\".";2000-02-14
"123";"telegrama";"Embaixada em PEQUIM";"China-Política interna.  Direitos Humanos.Situação às  vesperas da
reunião da CDH.";2000-02-15
"357";"telegrama";"Embaixada em WASHINGTON";"Brasil-Estado Unidos. Terceira  Via. Segunda Reunião de  Cúpula.
Confirmação da data  pelo Presidente Clinton.";2000-02-15
"377";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Acordo de salvaguardas.  Proposta de Alteração. Reação  preliminar.";2000-02-16
"376";"telegrama";"Embaixada em WASHINGTON";"Direitos Humanos. Situação em  Cuba. Projeto de resolução na  CDH.";2000-02-16
"140";"telegrama";"Embaixada em PEQUIM";"China Direitos Humanos visão  européia.";2000-02-18
"458";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Acordo de Salvaguardas.  Proposta de alteração. Reação  americana.";2000-02-28
"465";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Acordo de salvaguardas.  Proposta de Alteração. Reação  preliminar.";2000-02-28
"255";"despacho telegráfico";"Embaixada em WASHINGTON";"ESPAÇO EXTERIOR.  COMERCIALIZAÇÃO DO CLA. ACORDO  DE SALVAGUARDAS. \"PAPER\"  NORTE-AMERICANO. REAÇÃO  BRASILEIRA.";2000-02-28
"192";"telegrama";"Embaixada em PEQUIM";"China-Relações com Taiwan.";2000-03-02
"208";"telegrama";"Embaixada em PEQUIM";"AGRÉMENT PARA EMBAIXADOR WAN  YONGXIANG. PUBLICAÇÃO.
DISPENSA DE SIMULTANEIDADE.";2000-03-03
"201";"telegrama";"Embaixada em PEQUIM";"Desdobramentos do \"white  papers\" sobre Taiwan.";2000-03-03
"517";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Acordo de
Salvaguardas.  Proposta de alteração.";2000-03-03
"214";"telegrama";"Embaixada em PEQUIM";"China-Taiwan. Declaração do  Primeiro Ministro Zhu Rongji.";2000-03-08
"560";"telegrama";"Embaixada em WASHINGTON";"Comercialização do Centro de  Lançamentos de Alcântara.  Acordo de
salvaguardas.  Conversas informais.";2000-03-09
"238";"telegrama";"Embaixada em PEQUIM";"Promoção Comercial. Brasil-  RPC. EMBRAER. Promoção de  material
de uso militar.";2000-03-14
"273";"telegrama";"Embaixada em PEQUIM";"Viagem de Líder militar chinês  ao Brasil. Impressão de calma  com
Taiwan.";2000-03-20
"338";"despacho telegráfico";"Embaixada em WASHINGTON";"ESPAÇO EXTERIOR.  COMERCIALIZAÇÃO DO CLA. ACORDO  DE SALVAGUARDAS TECNOLÓGICAS.  ALTERNATIVAS AO ARTIGO III 1  A.";2000-03-20
"282";"telegrama";"Embaixada em PEQUIM";"Questão de Taiwan após a  eleição. Reação de Pequim.";2000-03-21
"656";"telegrama";"Embaixada em WASHINGTON";"Brasil-EUA. Extradição.";2000-03-21
"347";"despacho telegráfico";"Embaixada em WASHINGTON";"Brasil-EUA. Visita do  Presidente Clinton ao Brasil.";2000-03-21
"651";"telegrama";"Embaixada em WASHINGTON";"Espaço exterior.  Comercialização do CLA. Acordo  de salvaguardas
tecnológicas.  Proposta brasileira.";2000-03-21
"649";"telegrama";"Embaixada em WASHINGTON";"Espaço exterior.  Comercialização do CLA. Acordo  de salvaguardas
tecnológicas.  Proposta brasileira.";2000-03-21
"286";"telegrama";"Embaixada em PEQUIM";"China-Taiwan. Desdobramentos  após a eleição.";2000-03-22
"686";"telegrama";"Embaixada em WASHINGTON";"Espaço exterior.  Comercialização do CLA. Acordo  de salvaguardas
tecnológicas.  Proposta brasileira.";2000-03-24
"693";"telegrama";"Embaixada em WASHINGTON";"Extradição. Brasil-EUA.";2000-03-24
"684";"telegrama";"Embaixada em WASHINGTON";"Paraguai. Situação política e  econômica. Carta do Embaixador  Peter
Romero.";2000-03-24
"712";"telegrama";"Embaixada em WASHINGTON";"Espaço exterior.  Comercialização do CLA. Acordo  de salvaguardas tecnológicas.  Proposta brasileira. Reação  dos EUA.";2000-03-28
"388";"despacho telegráfico";"Embaixada em WASHINGTON";"ESPAÇO EXTERIOR.  COMERCIALIZAÇÃO DO CLA.  SALVAGUARDAS
TECNOLÓGICAS.  GARANTIAS ORAIS.";2000-03-29
"390";"despacho telegráfico";"Embaixada em WASHINGTON";"Paraguai. Situação política e  econômica. Carta do Embaixador  Peter
Romero.";2000-03-29
"10002";"telegrama";"Embaixada em WASHINGTON";"Brasil-Estados Unidos.  Relações bilaterais. Visita a  Washington do Sr. Ministro de  Estado.Reunião com o Subsecre-  tário Thomas Pickering.";2000-03-30
"10001";"telegrama";"Embaixada em WASHINGTON";"Brasil-Estados Unidos.  Relações bilaterais. Visita a  Washington do Sr. Ministro de  Estado. Secretária de Estado  Madeleine Albright.";2000-03-31
"728";"telegrama";"Embaixada em WASHINGTON";"Espaço Exterior.  Comercialização do CLA.  Salvaguardas Tecnológicas.
Acordo com os EUA.";2000-03-31
"736";"telegrama";"Embaixada em WASHINGTON";"Relações Brasil-EUA. Visita do  Presidente Clinton ao Brasil.";2000-04-03
"345";"telegrama";"Embaixada em PEQUIM";"China. Direitos Humanos.  Gestão para voto brasileiro na  CDH.";2000-04-05
"437";"despacho telegráfico";"Embaixada em WASHINGTON";"ESPAÇO EXTERIOR.  COMERCIALIZAÇÃO DO CLA.  SALVAGUARDAS TECNOLÓGICAS.  GARANTIAS ORAIS. MODIFICAÇÃO.";2000-04-06
"476";"despacho telegráfico";"Embaixada em WASHINGTON";"Assuntos Jurídicos.EUA/Brasil.";2000-04-14
"404";"telegrama";"Embaixada em PEQUIM";"China. Política Interna.";2000-04-18
"482";"despacho telegráfico";"Embaixada em WASHINGTON";"Assuntos Jurídicos.  EUA/Brasil.";2000-04-18
"871";"telegrama";"Embaixada em WASHINGTON";"PROTOCOLO.    BRASIL-GÂMBIA.  PEDIDO DE AGRÉMENT.";2000-04-19
"927";"telegrama";"Embaixada em WASHINGTON";"Peru. Eleições presidenciais.  Passagem   pelos   EUA  do  candidato
Alejandro Toledo.";2000-04-28
"986";"telegrama";"Embaixada em WASHINGTON";"ALCA.  Brasil-EUA.  Posição  brasileira.Conversa    com o  \"Deputy\"
USTR.";2000-05-05
"1059";"telegrama";"Embaixada em WASHINGTON";"EXTRADIÇÃO.      BRASIL-EUA.";2000-05-16
"600";"despacho telegráfico";"Embaixada em WASHINGTON";"Extradição. Brasil-EUA.";2000-05-16
"386";"telegrama";"Embaixada em  PEQUIM";"Administração.Pessoal. Pequim.  OC Luiza Antonia Louzada.  Chegada.";2001-04-20
"73";"despacho telegráfico";"Embaixada em  PEQUIM";"Brasil-China. Passagem do  Presidente Jiang Zemin pelo  Brasil. Audiência com o Sr.  Presidente
da República.";2001-01-31
"255";"telegrama";"Embaixada em  PEQUIM";"Brasil-República Popular  Democrática da Coréia.  Estabelecimento de relações.  Visita de
diplomata da Coréia  do Sul.";2001-03-16
"144";"despacho telegráfico";"Embaixada em  PEQUIM";"Brasil-RPC. Visita do  Presidente Jiang Zemin ao  Brasil.";2001-02-23
"109";"telegrama";"Embaixada em  PEQUIM";"Cartas de resposta do  Presidente Jiang Zemin às  cartas do Presidente Fernando  Henrique
Cardoso.";2001-02-05
"179";"telegrama";"Embaixada em  PEQUIM";"China - Seita Falun Gong.";2001-02-21
"74";"telegrama";"Embaixada em  PEQUIM";"China Brasil. Carta do  Presidente da República Jiang";2001-01-22
"348";"telegrama";"Embaixada em  PEQUIM";"China. CDH. Resolução sobre a  situação dos direitos humanos  na China. Pedido de apoio do
Brasil.";2001-04-11
"74";"despacho telegráfico";"Embaixada em  PEQUIM";"China-Brasil. Carta de  resposta do Presidente Jiang  Zemin a duas cartas do  Presidente
Fernando Henrique  Cardoso.";2001-01-31
"154";"telegrama";"Embaixada em  PEQUIM";"China-Brasil. Parada técnica  no Brasil do Presidente  Chinês.";2001-02-15
"176";"telegrama";"Embaixada em  PEQUIM";"Comunicações. Recebimento de  disquetes.";2001-02-20
"1293";"telegrama";"Embaixada em  PEQUIM";"Coréia do Norte. Visão chinesa";2000-12-29
"637";"telegrama";"Embaixada em  PEQUIM";"Cúpula intercoreana.  Informações chinesas.";2000-06-27
"76";"telegrama";"Embaixada em  PEQUIM";"Passagem do Presidente Jiang  Zemin pelo Brasil.";2001-01-22
"768";"despacho telegráfico";"Embaixada em  PEQUIM";"Política Externa. Brasil-  Coréia do Norte. Pedido de  entrevista de diplomata  coreano.";2000-10-10
"962";"telegrama";"Embaixada em  PEQUIM";"Política externa. Brasil-  Coréia do Norte. Pedido de  entrevista de diplomata  coreano.";2000-10-05
"118";"telegrama";"Embaixada em  PEQUIM";"Presidente da República  da  China. Parada \"técnica\" no  Brasil.";2001-02-08
"107";"despacho telegráfico";"Embaixada em  PEQUIM";"Presidente da RPC. Parada  \"técnica no Brasil\".";2001-02-13
"130";"telegrama";"Embaixada em  PEQUIM";"Promoção comercial. Brasil-  China. Negociações da EMBRAER.  Visitas oficiais.";2001-02-12
"1143";"telegrama";"Embaixada em  PEQUIM";"Promoção Comercial. Brasil-  RPC. Embraer. Assinatura de  Memorando de Certificação  entre
o DAC e a CAAC. Possível  data.";2000-11-22
"1018";"telegrama";"Embaixada em  PEQUIM";"Promoção Comercial. Brasil-  RPC. Embraer. Carta do Sr. VPR  ao Vice-Presidente Hu Jintao.";2000-10-20
"1048";"telegrama";"Embaixada em  PEQUIM";"Promoção Comercial. Brasil-  RPC. Embraer. III China  Airshow. Participação da  Embaixada.
Passagens aéreas.";2000-10-30
"1104";"telegrama";"Embaixada em  PEQUIM";"Promoção Comercial. Brasil-  RPC. Embraer. III China  Airshow. Participação de  representantes
da Embaixada.  Relatório.";2000-11-14
"992";"telegrama";"Embaixada em  PEQUIM";"Promoção Comercial. Brasil-  RPC. Embraer. Negociações com  a \"China Southern Airlines\".
\"Bombardier\". Visita a  Guangzhou.";2000-10-19
"1019";"telegrama";"Embaixada em  PEQUIM";"Promoção Comercial. Brasil-  RPC. Embraer. Negociações com  a \"China Southern Airlines\".
\"Show\" Aéreo de Zhuhai.  Passagens e diárias.";2000-10-20
"974";"telegrama";"Embaixada em  PEQUIM";"Promoção Comercial. Brasil-  RPC. Embraer. Negociações com  a \"China Southern Airlines\".
Interferência política da  \"Bombardier\".";2000-10-19
"1118";"telegrama";"Embaixada em  PEQUIM";"Promoção Comercial. Brasil-  RPC. Embraer. Venda de ERJ 145  à \"China Southern Airlines\".
Assinatura de contrato.  Ratificação pela SDPC.";2000-11-17
"785";"despacho telegráfico";"Embaixada em  PEQUIM";"Promoção Comercial.Brasil-RPC.  Aeronaves. Embraer.  III China  Airshow.Participação de
repre-  sentantes da Embaixada.Autori-  zação.";2000-10-20
"467";"telegrama";"Embaixada em  PEQUIM";"Relações Brasil-RPC.  Reaparelhamento da FAB.  Aquisição de Aviões F-5  A Taiwan.";2001-05-11
"959";"telegrama";"Embaixada em  PEQUIM";"Relações Brasil-RPC. Proposta  de venda de três submarinos  brasileiros a Taiwan.";2000-09-29
"261";"telegrama";"Embaixada em  PEQUIM";"Visita do Presidente Jiang  Zemin ao Brasil.";2001-03-19
"181";"telegrama";"Embaixada em  PEQUIM";"Visita do Presidente Jiang  Zemin ao Brasil.";2001-02-22
"724";"telegrama";"Embaixada em  WASHINGTON";"Assuntos  Consulares.  Vistos  Temporários. Irregularidades.";2001-03-21
"1056";"despacho telegráfico";"Embaixada em  WASHINGTON";"Brasil/EUA.Caso TRT/SP.Ação  Civil.";2000-09-04
"2381";"telegrama";"Embaixada em  WASHINGTON";"Brasil-Argentina.Sec.Finanças  Min.  da  Economia Argentino.  Visita a Washington.  Comen-
tário  política   comercial  brasileira. Mercosul.";2000-11-03
"1247";"telegrama";"Embaixada em  WASHINGTON";"Brasil-Bolívia.     Energia.  Atitude  do  Governo  Norte-  Americano.";2000-06-09
"1309";"telegrama";"Embaixada em  WASHINGTON";"Brasil-Bolívia. Energia. Gás.  Atitude do Governo Americano.  Remessa de Documentos.";2000-06-19
"1664";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-BOTSUANA. APRESENTAÇÃO  DE  CREDENCIAIS.  EMBAIXADOR  KGOSI SEEPAPITSO IV.";2000-08-08
"1857";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-BOTSUANA. APRESENTAÇÃO  DE  CREDENCIAIS.  EMBAIXADOR  KGOSI SEEPAPITSO IV.";2000-09-05
"1911";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-BOTSUANA. APRESENTAÇÃO  DE  CREDENCIAIS.  EMBAIXADOR  KGOSI SEEPAPITSO IV.";2000-09-13
"1015";"despacho telegráfico";"Embaixada em  WASHINGTON";"Brasil-Botsuana. Apresentação  de Credenciais. Embaixador  Kgosi Seepapitso IV.";2000-08-25
"1050";"despacho telegráfico";"Embaixada em  WASHINGTON";"Brasil-Botsuana. Apresentação  de Credenciais. Embaixador  Kgosi Seepapitso IV.";2000-09-01
"841";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.          Visita  Presidencial.     Comunicado  conjunto.   Nova   proposta  americana.
Insistência  no  tema da antecipação da ALCA.";2001-03-29
"1580";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.       Consultas  políticas.  Encontro  do SGAP  com o Embaixador John Holum";2000-07-29
"1581";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.       Consultas  políticas.  Visita  do  Sr.  SGAP.     Encontro    com o  Secretário de
Defesa.";2000-07-29
"1582";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.       Consultas  políticas.  Visita  do  Sr.  SGAP.  Encontros no DOS com o
Embaixador Pickering.";2000-07-29
"1221";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA.       COOPERAÇÃO  JUDICIÁRIA. \"DOSSIÊ  CAYMAN\".  INQUIRIÇÃO DE
TESTEMUNHAS.";2001-05-09
"1201";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA.       COOPERAÇÃO  JUDICIÁRIA. \"DOSSIÊ  CAYMAN\".  MLAT.";2001-05-08
"664";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA.       COOPERAÇÃO  JUDICIÁRIA. \"DOSSIÊ CAYMAN\".";2001-03-15
"804";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA.       COOPERAÇÃO  JUDICIÁRIA. \"DOSSIÊ CAYMAN\".";2001-03-27
"1369";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.       Cooperação  Judiciária. Cartas Rogatórias  em matéria penal.";2001-05-26
"1627";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.    Visita    da  Secretária    de   Estado à  América  do Sul. Alteração do  programa
para  inclusão  do  Brasil.";2000-08-04
"777";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.    Visita    do  Presidente   da  República.  Encontro com o Presidente dos  EUA.";2001-03-23
"405";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.    Visita    do  Presidente da República. Nova  Data.";2001-02-14
"291";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.    Visitas   do  Presidente  da República e do  Ministro de Estado. Datas.";2001-02-06
"1214";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.  Artigo  de Henry  Kissinger.       Percepções  equivocadas sobre a realidade
brasileira.";2001-05-10
"827";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA.  EXTRADIÇÃO. INFORMAÇÕES ADICIONAIS.";2001-03-28
"1831";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.  Plano  Colômbia.  Reunião  no  Departamento  de  Estado.";2000-08-31
"1836";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.  Plano  Colômbia.  Reunião  no  Departamento  de  Estado.   Reação  da  Casa
Branca.";2000-09-01
"665";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.  Visita do Senhor  Presidente   da  República.  Agenda. Encontro no DoS.";2001-03-16
"816";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.  Visita do Senhor  Presidente   da  República.  ALCA.  Projeto  de comunicado
conjunto.  Conversações  na  Casa Branca.";2001-03-28
"844";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.  Visita do Senhor  Presidente   da  República.  ALCA.  Projeto  de comunicado
conjunto.  Conversações  na  Casa Branca.";2001-03-29
"695";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.  Visita do Senhor  Presidente   da  República.  Contexto político-econômico.";2001-03-20
"736";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.  Visita do Senhor  Presidente   da  República.  Relações       bilaterais e
hemisféricas.";2001-03-22
"1079";"despacho telegráfico";"Embaixada em  WASHINGTON";"Brasil-EUA. Caso TRT/SP. Ação  civil. Audiência em Miami.";2000-09-11
"1867";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. CASO TRT/SP. AÇÃO  CIVIL. AUDIÊNCIA EM MIAMI.";2000-09-08
"1833";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. CASO TRT-SP. AÇÃO  CIVIL.";2000-09-01
"225";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA. Encontro entre os  Presidentes. Conversa no DoS.";2001-01-29
"324";"despacho telegráfico";"Embaixada em  WASHINGTON";"Brasil-EUA. Relacionamento  DAC-FAA. Últimos dados.";2001-03-22
"2072";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-NAMÍBIA.  APRESENTAÇÃO  DE  CREDENCIAIS.  EMBAIXADOR  LEONARD N. IIPUMBU.";2000-10-02
"2455";"telegrama";"Embaixada em  WASHINGTON";"Carta  Rogatória. Brasil-EUA.  Unibanco. Versão em Inglês.";2000-11-13
"1409";"telegrama";"Embaixada em  WASHINGTON";"Centro  de  Lançamentos  de  Alcântara.     Acordo    de  Salvaguardas.  Consulta sobre
projeto de comercialização.";2000-07-03
"1199";"telegrama";"Embaixada em  WASHINGTON";"Centro  de  Lançamentos  de  Alcântara.     Acordo    de  Salvaguardas.  Consulta sobre
projeto de comercialização.";2000-06-03
"1529";"telegrama";"Embaixada em  WASHINGTON";"Drogas.  UCD 2000. Iniciativa  do  Comando  Sul  de convocar  reunião  de  alto  nível  em
Miami. Desdobramentos.";2000-07-24
"894";"despacho telegráfico";"Embaixada em  WASHINGTON";"Drogas. Conferência Regional  Antinarcóticos de Miami.  Visita do Gen. Wilhelm.  Encontro
com o SG.";2000-07-27
"1483";"despacho telegráfico";"Embaixada em  WASHINGTON";"Drogas. Iniciativas do Comando  Sul. Centro de coordenação  regional.";2000-12-06
"1473";"telegrama";"Embaixada em  WASHINGTON";"Espaço  Exterior. Brasil.EUA.  Israel.   Leolink.  Gestões  coordenadas em Washington";2000-07-13
"1924";"telegrama";"Embaixada em  WASHINGTON";"Espaço  Exterior. Brasil-EUA.  Comercialização de Alcântara.  Projeto Leolink.";2000-09-15
